"2017-07-27 09:27:01",A32-1619/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS 2017-07-26 D. TERITORIJOS PATIKRINIMO AKTAS","Files/Justiniškių/2017/07/27/47047466/Viršuliškių seniūnijos teritorijos  2017-07-27 dienos patikrinimo aktas.pdf"
"2017-07-26 17:41:00",A32-1613/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS SUSISIEKIMO KOMUNIKACIJŲ 2017-07-26 D. BŪKLĖS AKTAS","Files/Justiniškių/2017/07/26/47044603/Justiniškių g. 63 ir 65 nusileidimo - pakilimo laiptai, atšokusi laiptų pakopa. (1N) 20170726.jpg"
"2017-07-24 15:26:37",A32-1550/17(2.1.15-S4),Justiniškių,"DEFEKTINIS AKTAS 2017.07.24","Files/Justiniškių/2017/07/24/47019373/Defektinis aktas Nr. 2.pdf"
"2017-07-21 10:31:38",A32-1507/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017.07.20","Files/Justiniškių/2017/07/21/47002642/Teritorijos patikrinimo aktas Nr.1.pdf"
"2017-07-21 08:14:21",A32-1504/17(2.1.15-S4),Justiniškių,"JUSTINIŠKIŲ SENIŪNIJOS SUSISIEKIMO KOMUNIKACIJŲ BŪKLĖS AKTAS 2017.07.20","Files/Justiniškių/2017/07/21/46999810/Taikos g. 14.jpg"
"2017-07-20 10:00:45",A32-1487/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017.07.20","Files/Justiniškių/2017/07/20/46989842/Taikos g. 2.jpg"
"2017-07-19 12:59:54",A32-1459/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS 2017-07-18 D. ATLIEKŲ KONTEINERIŲ IR JŲ PASTATYMO VIETŲ BŪKLĖS ĮVERTINIMO AKTAS.","Files/Justiniškių/2017/07/19/46974246/Viršuliškių g. 34  vidiniame kieme esantis UAB Ecoservice BA BA konteineris prerpildytas ir neišvežtos atliekos. 20170717.jpg"
"2017-07-19 11:13:50",A32-1456/17(2.1.15-S4),Justiniškių,"DĖL VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOJE NUVIRTUSIŲ, NULŪŽUSIŲ MEDŽIŲ SUTVARKYMO","Files/Justiniškių/2017/07/19/46972812/Rygos  g. 2A Lūžių parko pakrantėje  nulūžę medžiai. (1N) 20170711.jpg"
"2017-07-19 10:06:13",A32-1455/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS 2017-07-18 D. TERITORIJOS PATIKRINIMO AKTAS","Files/Justiniškių/2017/07/19/46971364/Viršuliškių seniūnijos 2017-07-18 d. teritorijos patikrinimo aktas.pdf"
"2017-07-18 15:59:35",A32-1452/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS KOMUNIKACIJŲ BŪKLĖS 2017-07-18 D. AKTAS","Files/Justiniškių/2017/07/18/46965545/Viršuliškių g. 34 nusileidimo - pakilimo laiptų vietos schema.png"
